  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 684   33    0   97.22  92.11    35     36   38      0     32    31    96.88
 685    6    0  100.00 100.00     5      5    5      0      6     6   100.00
 686    3    0   33.33  50.00     1      3    2      0      3     3   100.00
 687    7    0  100.00 100.00     5      5    5      0      6     6   100.00
 688    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 689    3    0  100.00 100.00     3      3    3      0      3     3   100.00
 690    7    0  100.00 100.00     7      7    7      0      7     7   100.00
 691   65    0   82.98  76.47    39     47   51      6     65    64    98.46
 692    4    0  100.00 100.00     4      4    4      0      3     3   100.00
 693    2    0   50.00  33.33     1      2    3      0      2     2   100.00
 694    7    0  100.00 100.00     6      6    6      0      6     6   100.00
 695   11    0   90.00  90.00     9     10   10      0     11    11   100.00
 696   12    0   91.67  91.67    11     12   12      0     12    12   100.00
