  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 320   26    0   84.21  80.00    16     19   20      2     26    26   100.00
 321   51    0   82.86  80.56    29     35   36      3     50    47    94.00
 322    7    0  100.00 100.00     6      6    6      0      7     7   100.00
 323   20    0   88.89  94.12    16     18   17      1     19    19   100.00
 324    8    0  100.00 100.00     8      8    8      0      8     8   100.00
 325   43    0   90.00  84.38    27     30   32      3     43    42    97.67
 326   30    0  100.00  90.48    19     19   21      0     28    28   100.00
 327   32    0   88.00  84.62    22     25   26      2     30    30   100.00
 328   21    0  100.00 100.00    17     17   17      0     21    20    95.24
 329   30    0   93.10  87.10    27     29   31      0     30    30   100.00
 330   11    0  100.00  88.89     8      8    9      0     11    11   100.00
 331   16    0   93.33  93.33    14     15   15      0     16    16   100.00
 332   11    0  100.00 100.00    14     14   14      0     11    11   100.00
 333    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 334   32    0   95.83  92.00    23     24   25      1     32    31    96.88
 335   11    0   66.67  72.73     8     12   11      2     11    11   100.00
 336   29    0   89.66  89.66    26     29   29      2     29    29   100.00
 337    8    0   62.50  83.33     5      8    6      0      8     8   100.00
 338   16    0  100.00 100.00    14     14   14      0     16    16   100.00
 339   25    0   92.00  95.83    23     25   24      0     25    25   100.00
 340   22    0   95.65  95.65    22     23   23      0     22    22   100.00
 341   29    0   93.75  96.77    30     32   31      1     29    29   100.00
 342   27    0   90.00  90.00    27     30   30      1     27    27   100.00
 343   31    1    0.00   0.00     0      0    0      0      0     0     0.00
 344   25    0   84.62  84.62    22     26   26      3     25    25   100.00
 345   29    1    0.00   0.00     0      0    0      0      0     0     0.00
 346   20    0  100.00 100.00    19     19   19      0     20    20   100.00
 347   16    0  100.00 100.00    13     13   13      0     16    16   100.00
 348   29    0   76.92  74.07    20     26   27      6     29    29   100.00
 349   13    0   90.00  90.00     9     10   10      0     13    13   100.00
 350   15    0  100.00 100.00    10     10   10      0     15    15   100.00
 351   11    0  100.00  90.91    10     10   11      0      9     9   100.00
 352   13    0   92.86 100.00    13     14   13      0     13    13   100.00
 353   22    0  100.00 100.00    25     25   25      0     22    21    95.45
 354   14    0   84.62  78.57    11     13   14      3     14    14   100.00
 355    6    0  100.00 100.00     6      6    6      0      6     6   100.00
 356    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 357   18    0   92.31  75.00    12     13   16      3     18    17    94.44
 358   29    0   76.92  90.91    20     26   22      1     29    28    96.55
 359   24    0   94.12 100.00    16     17   16      0     22    22   100.00
 360   30    0   86.96  76.92    20     23   26      2     30    28    93.33
 361   13    0  100.00 100.00    12     12   12      0     13    13   100.00
 362   20    0  100.00  95.45    21     21   22      0     20    20   100.00
 363   42    1    0.00   0.00     0      0    0      0      0     0     0.00
 364   22    0  100.00  90.48    19     19   21      0     22    20    90.91
 365   17    0   92.86  86.67    13     14   15      1     17    17   100.00
 366   17    0  100.00 100.00    15     15   15      0     15    15   100.00
 367   13    0  100.00 100.00    12     12   12      0     13    12    92.31
 368   43    0   97.44  95.00    38     39   40      1     43    43   100.00
 369   17    0   92.31  92.31    12     13   13      0     17    16    94.12
 370   27    0   95.83  88.46    23     24   26      0     27    26    96.30
 371   47    0   95.00  92.68    38     40   41      1     45    44    97.78
 372   31    0   96.67  96.67    29     30   30      0     31    31   100.00
 373   28    0   95.83  92.00    23     24   25      0     28    26    92.86
 374   15    0  100.00 100.00    13     13   13      0     15    14    93.33
 375   20    0   75.00  75.00    12     16   16      4     20    19    95.00
 376   28    0  100.00  96.15    25     25   26      0     28    27    96.43
 377   15    0  100.00 100.00    15     15   15      0     15    15   100.00
 378   18    0  100.00 100.00    20     20   20      0     17    17   100.00
 379   72    0   96.36  94.64    53     55   56      0     71    71   100.00
 380   66    0   81.36  82.76    48     59   58      6     64    63    98.44
 381   24    0   90.48  95.00    19     21   20      0     24    22    91.67
 382   17    0   92.31 100.00    12     13   12      0     17    17   100.00
 383   26    0   86.36  95.00    19     22   20      1     26    25    96.15
 384   20    0   76.47  68.42    13     17   19      2     20    18    90.00
 385   11    0  100.00 100.00    15     15   15      0     11    11   100.00
 386   20    0   94.74  94.74    18     19   19      0     19    19   100.00
 387   32    0  100.00 100.00    28     28   28      0     31    29    93.55
 388   15    0   91.67  91.67    11     12   12      0     14    14   100.00
 389   17    0   93.33  93.33    14     15   15      0     16    16   100.00
 390   25    0   86.36  79.17    19     22   24      1     25    25   100.00
 391   14    0  100.00 100.00    17     17   17      0     14    14   100.00
 392   24    0   70.83  73.91    17     24   23      5     23    23   100.00
 393   59    0   65.00  68.42    39     60   57     14     58    55    94.83
 394   28    0   88.46  95.83    23     26   24      0     26    25    96.15
 395   55    0   79.17  74.51    38     48   51      8     53    52    98.11
 396   12    0  100.00  90.91    10     10   11      0     10    10   100.00
 397    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 398   46    0   84.38  90.00    27     32   30      2     44    44   100.00
 399   13    0  100.00  90.91    10     10   11      0     13    13   100.00
 400   28    0  100.00  94.74    18     18   19      0     27    26    96.30
 401   29    0  100.00  95.45    21     21   22      0     29    29   100.00
 402   33    0   65.00  52.00    13     20   25      4     32    32   100.00
 403   63    0   82.93  80.95    34     41   42      2     59    58    98.31
 404   22    1    0.00   0.00     0      0    0      0      0     0     0.00
 405   51    0   89.47  89.47    34     38   38      0     49    49   100.00
 406   35    0   96.43  96.43    27     28   28      0     35    35   100.00
 407   14    0  100.00 100.00    16     16   16      0     14    14   100.00
 408   17    0   73.33  73.33    11     15   15      1     17    17   100.00
 409   15    0  100.00 100.00    15     15   15      0     15    15   100.00
 410   32    0  100.00 100.00    29     29   29      0     32    32   100.00
 411   12    0  100.00 100.00    11     11   11      0     12    12   100.00
 412    8    0  100.00 100.00     9      9    9      0      8     8   100.00
 413    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 414   66    0   81.63  75.47    40     49   53      4     66    66   100.00
 415   29    0   68.42  72.22    13     19   18      1     29    28    96.55
 416   22    1    0.00   0.00     0      0    0      0      0     0     0.00
 417   16    0  100.00 100.00    14     14   14      0     16    15    93.75
 418   28    0   85.71  94.74    18     21   19      0     28    28   100.00
 419    9    0  100.00 100.00     7      7    7      0      9     9   100.00
 420   25    0   94.44 100.00    17     18   17      0     25    25   100.00
 421   20    0   76.92  76.92    10     13   13      1     20    19    95.00
 422    6    0  100.00 100.00     5      5    5      0      6     6   100.00
 423   20    0  100.00 100.00    20     20   20      0     20    20   100.00
 424   12    0   76.92  83.33    10     13   12      1     12    12   100.00
 425   15    0  100.00 100.00    10     10   10      0     15    15   100.00
 426   15    0  100.00  91.67    11     11   12      0     15    15   100.00
 427   31    0   80.00  88.89    24     30   27      3     31    31   100.00
 428   40    0   83.87  89.66    26     31   29      1     40    37    92.50
 429   11    0  100.00  88.89     8      8    9      0     11    11   100.00
 430   31    0   91.30  84.00    21     23   25      1     31    31   100.00
 431   31    0   83.33  80.65    25     30   31      4     31    31   100.00
 432   17    0  100.00 100.00    14     14   14      0     17    16    94.12
 433   21    0   82.35  87.50    14     17   16      0     21    21   100.00
 434   14    0  100.00 100.00    14     14   14      0     14    14   100.00
 435   17    0  100.00  88.24    15     15   17      0     17    17   100.00
 436   23    0   73.68  73.68    14     19   19      3     23    23   100.00
 437   30    0  100.00  87.50    21     21   24      0     30    30   100.00
 438    9    0  100.00 100.00     7      7    7      0      9     9   100.00
 439   15    0   93.33 100.00    14     15   14      0     15    15   100.00
 440    6    0  100.00 100.00     4      4    4      0      6     6   100.00
