  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 695   39    0  100.00  96.77    30     30   31      0     39    38    97.44
 696   17    0   86.67  86.67    13     15   15      1     17    16    94.12
 697   15    0  100.00 100.00    18     18   18      0     15    15   100.00
 698   38    0  100.00 100.00    34     34   34      0     38    37    97.37
 699   23    0   95.00 100.00    19     20   19      0     23    23   100.00
 700   14    0   63.64  87.50     7     11    8      1     14    14   100.00
 701   11    0  100.00 100.00    12     12   12      0     11    11   100.00
 702    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 703   50    0   97.22  85.37    35     36   41      1     50    49    98.00
 704   11    0  100.00  88.89     8      8    9      0     11    11   100.00
 705   26    0  100.00 100.00    25     25   25      0     26    26   100.00
 706   14    0  100.00 100.00    13     13   13      0     14    14   100.00
 707   19    0   87.50  73.68    14     16   19      0     19    19   100.00
 708   17    1    0.00   0.00     0      0    0      0      0     0     0.00
 709   25    1    0.00   0.00     0      0    0      0      0     0     0.00
 710   20    0   93.33 100.00    14     15   14      0     20    20   100.00
 711   17    0   69.23  64.29     9     13   14      3     17    17   100.00
 712   23    1    0.00   0.00     0      0    0      0      0     0     0.00
 713   47    0   87.50  89.74    35     40   39      3     47    47   100.00
 714   34    1    0.00   0.00     0      0    0      0      0     0     0.00
 715   48    0   97.22  94.59    35     36   37      0     48    47    97.92
 716   19    0  100.00 100.00    16     16   16      0     19    19   100.00
 717   25    0   95.24  90.91    20     21   22      0     25    24    96.00
 718   19    0  100.00  93.75    15     15   16      0     19    19   100.00
 719   24    0   83.33  88.24    15     18   17      2     24    24   100.00
 720   12    0  100.00 100.00     8      8    8      0     12    12   100.00
 721   11    0  100.00 100.00    14     14   14      0     11    11   100.00
 722   11    1    0.00   0.00     0      0    0      0      0     0     0.00
 723   24    0   96.55  96.55    28     29   29      0     23    23   100.00
 724   20    0   84.62  78.57    11     13   14      0     20    19    95.00
 725   29    1    0.00   0.00     0      0    0      0      0     0     0.00
 726   36    0   91.67  88.00    22     24   25      1     35    35   100.00
 727   20    0  100.00 100.00    10     10   10      0     20    20   100.00
 728   10    0  100.00 100.00    12     12   12      0     10    10   100.00
 729    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 730   21    0   94.12  94.12    16     17   17      0     21    21   100.00
 731   23    0   94.74  94.74    18     19   19      0     23    21    91.30
 732   10    0  100.00 100.00     7      7    7      0     10     9    90.00
 733   19    0  100.00 100.00    12     12   12      0     19    18    94.74
 734   23    0   66.67 100.00    10     15   10      0     23    22    95.65
 735   12    0  100.00 100.00    11     11   11      0     12    12   100.00
 736   43    0  100.00 100.00    31     31   31      0     43    43   100.00
============================================================================
                 93.79  91.46  10341 11026 11307    256  13169 12854    97.61
=== Summary ===

-- All --
Number of sentence        =    736
Number of Error sentence  =     97
Number of Skip  sentence  =      0
Number of Valid sentence  =    639
Bracketing Recall         =  93.79
Bracketing Precision      =  91.46
Bracketing FMeasure       =  92.61
Complete match            =  38.65
Average crossing          =   0.40
No crossing               =  81.38
2 or less crossing        =  94.21
Tagging accuracy          =  97.61

-- len<=40 --
Number of sentence        =    676
Number of Error sentence  =     79
Number of Skip  sentence  =      0
Number of Valid sentence  =    597
Bracketing Recall         =  93.93
Bracketing Precision      =  92.10
Bracketing FMeasure       =  93.01
Complete match            =  40.70
Average crossing          =   0.34
No crossing               =  83.75
2 or less crossing        =  95.14
Tagging accuracy          =  97.53
